시명,2020 지정폐기물 배출량,2020 지정폐기물 처리량
가평군,0.003,0
고양시,0.0079,0.0003
과천시,0.0048,0.1351
광명시,0.011,0
광주시,0.0071,0
구리시,0.0193,0
군포시,0.0185,0
김포시,0.0124,0.0223
남양주시,0.0031,0
동두천시,0.0038,0.0006
부천시,0.0139,0.0008
성남시,0.0157,0
수원시,0.0105,0
시흥시,0.088,0.1529
안산시,0.1609,0.498
안성시,0.0289,0.0075
안양시,0.0148,0
양주시,0.0144,0.0082
양평군,0.0036,0
여주시,0.0061,0.0013
연천군,0.0099,0.0129
오산시,0.0283,0.1653
용인시,0.0118,0.0025
의왕시,0.0279,0.3697
의정부시,0.009,0
이천시,0.1143,0.0005
파주시,0.0408,0.0049
평택시,0.0499,0.057
포천시,0.0061,0.0021
하남시,0,0
화성시,0.0701,0.0594
경기도 전체,0.0369,0.0277
